Onchocerca flexuosa (PRJNA230512)
Onchocerca ochengi (PRJEB1204)
Onchocerca ochengi (PRJEB1465)
Onchocerca volvulus (PRJEB513)
Opisthorchis felineus (PRJNA413383)
Opisthorchis viverrini (PRJNA222628)
Oscheius tipulae (PRJEB15512)
Oscheius tipulae (PRJNA644888)
Panagrellus redivivus (PRJNA186477)
Panagrolaimus davidi (PRJEB32708)
Panagrolaimus sp. ES5 (PRJEB32708)
Panagrolaimus sp. JU765 (PRJEB32708)
Panagrolaimus sp. PS1159 (PRJEB32708)
Panagrolaimus superbus (PRJEB32708)
Paragonimus heterotremus (PRJNA284523)
Paragonimus kellicotti (PRJNA179523)
Paragonimus skrjabini miyazakii (PRJNA245325)
Paragonimus westermani (PRJNA219632)
Paragonimus westermani (PRJNA454344)
Paralinhomoeus sp. GSCO2_6 (PRJNA953805)
Parapristionchus giblindavisi (PRJEB53331)
Parascaris equorum (PRJEB514)
Parascaris univalens (PRJNA386823)
Parastrongyloides trichosuri (PRJEB515)
Parelaphostrongylus tenuis (PRJNA729714)
Plectus sambesii (PRJNA390260)
Pristionchus arcanus (PRJEB27334)
Pristionchus entomophagus (PRJEB27334)
Pristionchus exspectatus (PRJEB46690)
Pristionchus fissidentatus (PRJEB27334)
Pristionchus japonicus (PRJEB27334)
Pristionchus maxplancki (PRJEB27334)
Pristionchus mayeri (PRJEB27334)
Pristionchus pacificus (PRJNA12644)
Protopolystoma xenopodis (PRJEB1201)
Ptycholaimellus sp. GST1_10 (PRJNA953805)
Rhabditophanes sp. KR3021 (PRJEB1297)
Rhynchonema sp. JSB1_4 (PRJNA953805)
Rodentolepis nana (PRJEB508)
Romanomermis culicivorax (PRJEB1358)
Sabatieria punctata (PRJNA953805)
Schistocephalus solidus (PRJEB527)
Schistosoma bovis (PRJNA451066)
Schistosoma bovis (TD1PRJEB44434)
Schistosoma bovis (TD2PRJEB44434)
Schistosoma curassoni (PRJEB44434)
Schistosoma curassoni (PRJEB519)
Schistosoma guineensis (PRJEB44434)
Schistosoma haematobium (PRJNA78265)
Schistosoma haematobium (TD1PRJEB44434)
Schistosoma haematobium (TD2PRJEB44434)
Schistosoma intercalatum (TD1PRJEB44434)
Schistosoma intercalatum (TD2PRJEB44434)
Schistosoma japonicum (PRJEA34885)
Schistosoma japonicum (PRJNA520774)
Schistosoma japonicum (PRJNA724792)
Schistosoma mansoni (PRJEA36577)
Schistosoma margrebowiei (PRJEB44434)
Schistosoma mattheei (PRJEB44434)
Schistosoma rodhaini (TD1PRJEB44434)
Schistosoma rodhaini (TD2PRJEB44434)
Schistosoma spindale (PRJEB44434)
Schistosoma turkestanicum (PRJEB44434)
Schmidtea mediterranea (PRJNA12585)
Schmidtea mediterranea (S2F19H1PRJNA885486)
Schmidtea mediterranea (S2F19H2PRJNA885486)
Setaria digitata (PRJNA479729)
Soboliphyme baturini (PRJEB516)
Spirometra erinaceieuropaei (PRJEB1202)
Steinernema carpocapsae (PRJNA202318)
Steinernema carpocapsae (V1PRJNA202318)
Steinernema feltiae (PRJNA204661)
Steinernema feltiae (PRJNA353610)
Steinernema glaseri (PRJNA204943)
Steinernema hermaphroditum (PRJNA982879)
Steinernema monticolum (PRJNA205067)
Steinernema scapterisci (PRJNA204942)
Strongyloides papillosus (PRJEB525)
Strongyloides ratti (PRJEB125)
Strongyloides stercoralis (PRJNA930454)
Strongyloides venezuelensis (PRJEB530)
Strongylus vulgaris (PRJEB531)
Syphacia muris (PRJEB524)
Taenia asiatica (PRJEB532)
Taenia asiatica (PRJNA299871)
Taenia multiceps (PRJNA307624)
Taenia saginata (PRJNA71493)
Taenia solium (PRJNA170813)
Teladorsagia circumcincta (PRJNA72569)
Thelazia callipaeda (PRJEB1205)
Theristus sp. LFF4_11 (PRJNA953805)
Toxocara canis (PRJEB533)
Toxocara canis (PRJNA248777)
Trichinella britovi (PRJNA257433)
Trichinella murrelli (PRJNA257433)
Trichinella nativa (PRJNA179527)
Trichinella nativa (PRJNA257433)
Trichinella nelsoni (PRJNA257433)
Trichinella papuae (PRJNA257433)
Trichinella patagoniensis (PRJNA257433)
Trichinella pseudospiralis (ISS13PRJNA257433)
Trichinella pseudospiralis (ISS141PRJNA257433)
Trichinella pseudospiralis (ISS176PRJNA257433)
Trichinella pseudospiralis (ISS470PRJNA257433)
Trichinella pseudospiralis (ISS588PRJNA257433)
Trichinella sp. T6 (PRJNA257433)
Trichinella sp. T8 (PRJNA257433)
Trichinella sp. T9 (PRJNA257433)
Trichinella spiralis (PRJNA12603)
Trichinella spiralis (PRJNA257433)
Trichinella zimbabwensis (PRJNA257433)
Trichobilharzia regenti (PRJEB44434)
Trichobilharzia szidati (PRJEB44434)
Trichuris muris (PRJEB126)
Trichuris suis (PRJNA179528)
Trichuris suis (PRJNA208415)
Trichuris suis (PRJNA208416)
Trichuris trichiura (PRJEB535)
Trileptium ribeirensis (PRJNA953805)
Trissonchulus latispiculum (PRJNA953805)
Trissonchulus sp. WLG1_4 (PRJNA953805)
Wuchereria bancrofti (PRJEB536)
Wuchereria bancrofti (PRJNA275548)
